LandUse,Acreage,TaxDistrict,LandValue,BuildingValue,FinishedArea,FoundationType,YearBuilt,Grade,Bedrooms,FullBath,HalfBath,Class
SINGLE FAMILY,1.2,URBAN SERVICES DISTRICT,39300,220500,2928,CRAWL,1967,C   ,5,3,0,I
SINGLE FAMILY,0.3,URBAN SERVICES DISTRICT,30000,241000,3675,PT BSMT,1951,C   ,5,2,2,I
SINGLE FAMILY,0.42,URBAN SERVICES DISTRICT,40000,161300,1986,PT BSMT,1949,C   ,5,3,0,I
SINGLE FAMILY,1.03,URBAN SERVICES DISTRICT,23000,129600,2016.00002,FULL BSMT,1958,C   ,5,2,0,I
SINGLE FAMILY,0.51,URBAN SERVICES DISTRICT,26000,144000,2189.5,FULL BSMT,1958,C   ,5,2,0,I
SINGLE FAMILY,0.37,URBAN SERVICES DISTRICT,26000,185400,2564.32507,CRAWL,1951,C   ,5,2,0,I
SINGLE FAMILY,0.44,URBAN SERVICES DISTRICT,27600,107100,1816,CRAWL,1964,C   ,5,3,0,I
SINGLE FAMILY,0.28,URBAN SERVICES DISTRICT,31000,133300,2870,CRAWL,1972,C   ,5,3,0,I
DUPLEX,0.98,GENERAL SERVICES DISTRICT,40000,124200,1973,FULL BSMT,1961,C   ,5,2,0,I
SINGLE FAMILY,0.23,URBAN SERVICES DISTRICT,24000,112300,1752,SLAB,1972,C   ,5,2,0,I
SINGLE FAMILY,0.39,GENERAL SERVICES DISTRICT,20000,113900,2225,CRAWL,1963,C   ,5,2,1,I
SINGLE FAMILY,0.23,GENERAL SERVICES DISTRICT,24000,121800,2052.96002,FULL BSMT,1964,C   ,5,2,0,I
SINGLE FAMILY,0.26,GENERAL SERVICES DISTRICT,20000,130700,2052.10001,FULL BSMT,1962,C   ,5,2,0,I
SINGLE FAMILY,0.29,URBAN SERVICES DISTRICT,28000,97200,1725,SLAB,1969,C   ,5,2,0,I
SINGLE FAMILY,0.36,GENERAL SERVICES DISTRICT,27000,147400,3065.09998,FULL BSMT,1968,C   ,5,3,0,I
SINGLE FAMILY,0.27,URBAN SERVICES DISTRICT,25000,175000,3002,CRAWL,1940,C   ,5,2,0,I
SINGLE FAMILY,0.82,URBAN SERVICES DISTRICT,20000,177200,3120,CRAWL,1975,C   ,5,3,0,I
SINGLE FAMILY,0.63,GENERAL SERVICES DISTRICT,30000,186800,2774,CRAWL,2003,C   ,4,2,1,I
SINGLE FAMILY,0.84,URBAN SERVICES DISTRICT,23000,147800,1738,FULL BSMT,1961,C   ,4,1,1,I
SINGLE FAMILY,1.71,URBAN SERVICES DISTRICT,41100,133400,1985,CRAWL,1960,B   ,4,2,0,I
SINGLE FAMILY,0.4,URBAN SERVICES DISTRICT,34000,132400,2080.00006,FULL BSMT,1973,C   ,4,2,1,I
SINGLE FAMILY,0.49,URBAN SERVICES DISTRICT,36000,127200,1573,CRAWL,1950,C   ,4,2,0,I
SINGLE FAMILY,0.33,URBAN SERVICES DISTRICT,32700,123300,2650,SLAB,1963,C   ,4,2,1,I
DUPLEX,0.4,URBAN SERVICES DISTRICT,32700,87900,1666,CRAWL,1962,C   ,4,2,0,I
DUPLEX,0.54,URBAN SERVICES DISTRICT,32700,83800,1589,CRAWL,1960,C   ,4,2,0,I
SINGLE FAMILY,1.07,GENERAL SERVICES DISTRICT,40000,203600,2913.92004,FULL BSMT,2006,C   ,4,4,0,I
SINGLE FAMILY,0.45,URBAN SERVICES DISTRICT,32000,163700,2187,FULL BSMT,1960,C   ,4,3,0,I
SINGLE FAMILY,0.23,URBAN SERVICES DISTRICT,28000,114800,2758.47998,FULL BSMT,1968,C   ,4,3,0,I
SINGLE FAMILY,0.25,URBAN SERVICES DISTRICT,34000,103800,1748,SLAB,1972,C   ,4,2,0,I
QUADPLEX,0.2,URBAN SERVICES DISTRICT,26000,211100,3712,CRAWL,1972,C   ,8,4,0,J
QUADPLEX,0.2,URBAN SERVICES DISTRICT,125000,46800,2700,CRAWL,1963,C   ,8,4,0,J
DUPLEX,0.17,URBAN SERVICES DISTRICT,60000,131600,2071,CRAWL,1958,C   ,6,3,0,J
SINGLE FAMILY,0.24,URBAN SERVICES DISTRICT,35000,233200,2987,PT BSMT,1947,C   ,6,3,1,J
DUPLEX,0.17,URBAN SERVICES DISTRICT,11000,95200,2275,SLAB,1988,C   ,6,2,0,J
TRIPLEX,0.19,URBAN SERVICES DISTRICT,40000,10700,2025,CRAWL,1962,C   ,6,3,0,J
TRIPLEX,0.14,URBAN SERVICES DISTRICT,9000,105500,2075,CRAWL,1971,D   ,6,3,0,J
SINGLE FAMILY,0.99,URBAN SERVICES DISTRICT,34000,234000,3567.04004,FULL BSMT,1962,C   ,5,3,0,J
SINGLE FAMILY,1.07,CITY OF GOODLETTSVILLE,30800,137400,2205,CRAWL,1955,C   ,5,2,0,J
SINGLE FAMILY,0.34,GENERAL SERVICES DISTRICT,35000,151300,2534,SLAB,1990,C   ,5,3,0,J
SINGLE FAMILY,0.43,URBAN SERVICES DISTRICT,21500,170700,3418.43994,FULL BSMT,1967,C   ,5,5,0,J
SINGLE FAMILY,0.86,URBAN SERVICES DISTRICT,18900,121800,2707,CRAWL,1960,C   ,5,3,0,J
SINGLE FAMILY,0.5,GENERAL SERVICES DISTRICT,26000,95800,2224,PT BSMT,1947,C   ,5,2,0,J
DUPLEX,0.27,URBAN SERVICES DISTRICT,165000,96700,992,FULL BSMT,1950,C   ,4,2,0,J
SINGLE FAMILY,0.23,URBAN SERVICES DISTRICT,30000,203800,2068.79999,PT BSMT,1946,C   ,4,2,0,J
DUPLEX,0.19,URBAN SERVICES DISTRICT,90000,56700,1404,CRAWL,1978,C   ,4,2,0,J
SINGLE FAMILY,0.89,GENERAL SERVICES DISTRICT,45000,139800,2596,PT BSMT,1967,C   ,4,3,0,J
SINGLE FAMILY,0.62,GENERAL SERVICES DISTRICT,35000,166500,2312,CRAWL,1955,C   ,4,1,1,J
SINGLE FAMILY,3.51,URBAN SERVICES DISTRICT,71100,148500,2349.73004,FULL BSMT,1959,C   ,4,3,0,J
SINGLE FAMILY,1.33,GENERAL SERVICES DISTRICT,38400,199800,2495,CRAWL,1954,C   ,4,2,1,J
SINGLE FAMILY,1.51,URBAN SERVICES DISTRICT,49000,155000,1694,FULL BSMT,1955,C   ,4,2,0,J
DUPLEX,0.9,URBAN SERVICES DISTRICT,135000,100800,1775,PT BSMT,1976,B   ,4,2,0,J
SINGLE FAMILY,0.48,GENERAL SERVICES DISTRICT,45000,154400,2094,PT BSMT,1966,C   ,4,2,0,J
SINGLE FAMILY,1.01,URBAN SERVICES DISTRICT,34200,180700,4312,PT BSMT,1971,B   ,4,4,0,J
SINGLE FAMILY,0.52,URBAN SERVICES DISTRICT,35000,141900,1793,CRAWL,1959,C   ,4,1,1,J
SINGLE FAMILY,0.28,URBAN SERVICES DISTRICT,32000,153800,2016,CRAWL,1962,C   ,4,2,0,J
QUADPLEX,0.26,URBAN SERVICES DISTRICT,13000,134400,4144,CRAWL,1973,C   ,8,4,0,K
QUADPLEX,0.22,URBAN SERVICES DISTRICT,13000,81100,3045,CRAWL,1960,D   ,8,4,0,K
DUPLEX,0.26,URBAN SERVICES DISTRICT,13200,159600,2870,FULL BSMT,1953,C   ,6,3,0,K
DUPLEX,0.41,GENERAL SERVICES DISTRICT,45000,143500,2185,CRAWL,1969,C   ,6,3,0,K
DUPLEX,1.9,URBAN SERVICES DISTRICT,48600,160300,2340.5,PT BSMT,1967,C   ,6,3,0,K
SINGLE FAMILY,0.98,URBAN SERVICES DISTRICT,135000,1020400,6487.51997,FULL BSMT,2017,A   ,6,7,1,K
TRIPLEX,0.26,GENERAL SERVICES DISTRICT,16000,146900,3968,SLAB,1966,C   ,6,6,0,K
SINGLE FAMILY,0.87,CITY OF GOODLETTSVILLE,30800,213000,3852,PT BSMT,1961,C   ,5,3,1,K
SINGLE FAMILY,0.21,URBAN SERVICES DISTRICT,180000,839400,3759.81998,PT BSMT,1925,A   ,5,3,1,K
SINGLE FAMILY,0.46,GENERAL SERVICES DISTRICT,30000,235900,2552,SLAB,2012,B   ,5,2,0,K
SINGLE FAMILY,0.48,URBAN SERVICES DISTRICT,34500,121600,1902,FULL BSMT,1927,C   ,5,2,1,K
SINGLE FAMILY,0.56,GENERAL SERVICES DISTRICT,45000,151500,2493.75,FULL BSMT,1966,C   ,5,3,0,K
SINGLE FAMILY,0.22,URBAN SERVICES DISTRICT,41100,182500,2445.59998,PT BSMT,1940,C   ,5,2,1,K
SINGLE FAMILY,0.37,URBAN SERVICES DISTRICT,26000,185400,2564.32507,CRAWL,1951,C   ,5,2,0,K
DUPLEX,0.18,URBAN SERVICES DISTRICT,85000,139700,2178,FULL BSMT,1937,C   ,5,3,0,K
DUPLEX,0.28,URBAN SERVICES DISTRICT,25000,86400,1706,CRAWL,1955,C   ,5,3,0,K
SINGLE FAMILY,1.72,CITY OF GOODLETTSVILLE,36500,123900,2792,FULL BSMT,1972,C   ,5,3,0,K
SINGLE FAMILY,3.2,URBAN SERVICES DISTRICT,53000,140400,3017,PT BSMT,1966,C   ,5,3,0,K
SINGLE FAMILY,0.25,URBAN SERVICES DISTRICT,26000,118100,1651,CRAWL,1958,C   ,5,3,0,K
SINGLE FAMILY,3.2,URBAN SERVICES DISTRICT,53000,140400,3017,PT BSMT,1966,C   ,5,3,0,K
SINGLE FAMILY,1.3,GENERAL SERVICES DISTRICT,30000,154000,3000,FULL BSMT,1963,C   ,5,3,0,K
SINGLE FAMILY,0.51,URBAN SERVICES DISTRICT,33800,197700,2667.5,FULL BSMT,1953,C   ,4,3,0,K
SINGLE FAMILY,1.08,URBAN SERVICES DISTRICT,245000,136600,1915.20001,FULL BSMT,1953,B   ,4,3,0,K
SINGLE FAMILY,0.25,URBAN SERVICES DISTRICT,60300,178700,1739.52002,CRAWL,1934,C   ,4,2,0,K
DUPLEX,0.21,URBAN SERVICES DISTRICT,25000,77800,1524,CRAWL,1980,C   ,4,2,0,K
SINGLE FAMILY,0.9,URBAN SERVICES DISTRICT,46000,214300,2027,CRAWL,1961,C   ,4,2,0,K
SINGLE FAMILY,0.19,URBAN SERVICES DISTRICT,30000,181800,1998,PT BSMT,1945,C   ,4,2,1,K
SINGLE FAMILY,3.11,URBAN SERVICES DISTRICT,51500,179400,2812.44,FULL BSMT,1959,C   ,4,3,0,K
SINGLE FAMILY,0.91,URBAN SERVICES DISTRICT,35500,162500,1641,CRAWL,1964,C   ,4,2,1,K
SINGLE FAMILY,0.44,URBAN SERVICES DISTRICT,65000,245200,2352.8,FULL BSMT,1955,B   ,4,2,0,K
QUADPLEX,0.18,URBAN SERVICES DISTRICT,25000,104000,2375,CRAWL,1961,D   ,8,4,0,L
QUADPLEX,0.18,URBAN SERVICES DISTRICT,25000,104900,2418,PT BSMT,1961,D   ,6,4,0,L
SINGLE FAMILY,0.42,URBAN SERVICES DISTRICT,38700,242400,2585,PT BSMT,1938,C   ,6,2,0,L
DUPLEX,0.43,GENERAL SERVICES DISTRICT,27000,96200,2108,SLAB,1974,C   ,6,2,0,L
SINGLE FAMILY,1.74,GENERAL SERVICES DISTRICT,70200,225600,2784.00006,FULL BSMT,1971,B   ,6,3,0,L
TRIPLEX,0.19,URBAN SERVICES DISTRICT,40000,120000,2145,CRAWL,1972,C   ,6,3,0,L
SINGLE FAMILY,0.45,GENERAL SERVICES DISTRICT,41000,170900,3116,SLAB,1980,C   ,6,4,0,L
DUPLEX,0.37,GENERAL SERVICES DISTRICT,34000,167200,2016,FULL BSMT,1972,C   ,6,2,0,L
SINGLE FAMILY,0.34,URBAN SERVICES DISTRICT,70000,172600,2610,SLAB,1965,C   ,5,3,0,L
SINGLE FAMILY,1.21,URBAN SERVICES DISTRICT,135000,189900,2679,SLAB,1955,C   ,5,1,1,L
VACANT RES LAND,0.45,CITY OF OAK HILL,203500,682900,4382,CRAWL,2014,A   ,5,4,1,L
SINGLE FAMILY,0.73,URBAN SERVICES DISTRICT,34000,230200,3676,CRAWL,1960,C   ,5,3,1,L
SINGLE FAMILY,0.3,URBAN SERVICES DISTRICT,37000,214100,2268,FULL BSMT,1938,C   ,5,2,0,L
SINGLE FAMILY,0.75,GENERAL SERVICES DISTRICT,90000,164700,3484,PT BSMT,1968,B   ,5,4,0,L
SINGLE FAMILY,1.27,URBAN SERVICES DISTRICT,135000,191100,3660,SLAB,1972,B   ,5,5,0,L
SINGLE FAMILY,0.17,URBAN SERVICES DISTRICT,150000,298200,3457.60001,CRAWL,1948,C   ,5,4,1,L
SINGLE FAMILY,0.45,CITY OF OAK HILL,203500,675900,4221,CRAWL,2014,A   ,5,3,2,L
SINGLE FAMILY,1.03,URBAN SERVICES DISTRICT,34500,193500,3156,SLAB,1968,B   ,5,4,0,L
DUPLEX,0.2,URBAN SERVICES DISTRICT,75000,130300,1975.5,CRAWL,1932,C   ,5,2,0,L
DUPLEX,0.85,URBAN SERVICES DISTRICT,35500,207200,2100,FULL BSMT,1956,C   ,5,2,0,L
SINGLE FAMILY,0.86,URBAN SERVICES DISTRICT,35000,238600,3377.94006,FULL BSMT,1965,C   ,5,4,0,L
SINGLE FAMILY,3.38,URBAN SERVICES DISTRICT,64200,222400,3174,CRAWL,1962,C   ,5,3,1,L
SINGLE FAMILY,0.53,URBAN SERVICES DISTRICT,81900,251500,1894,FULL BSMT,1948,C   ,5,2,0,L
SINGLE FAMILY,0.44,URBAN SERVICES DISTRICT,33800,187100,3177,CRAWL,1951,C   ,5,2,1,L
SINGLE FAMILY,0.94,CITY OF GOODLETTSVILLE,27500,158900,2700,PT BSMT,1930,C   ,5,2,0,L
SINGLE FAMILY,1.03,URBAN SERVICES DISTRICT,30500,200200,2978.5,FULL BSMT,1976,C   ,5,3,0,L
SINGLE FAMILY,0.29,URBAN SERVICES DISTRICT,31000,185800,2700,SLAB,1966,C   ,5,2,1,L
DUPLEX,0.3,URBAN SERVICES DISTRICT,29900,146000,3278,CRAWL,1951,C   ,5,2,0,L
SINGLE FAMILY,0.43,GENERAL SERVICES DISTRICT,45000,153700,2700,FULL BSMT,1966,C   ,5,3,0,L
SINGLE FAMILY,1.04,GENERAL SERVICES DISTRICT,99000,167100,3744.76999,PT BSMT,1972,B   ,5,3,0,L
SINGLE FAMILY,0.35,URBAN SERVICES DISTRICT,70000,177600,2816,SLAB,1965,C   ,5,3,0,L
SINGLE FAMILY,0.37,URBAN SERVICES DISTRICT,26000,185400,2564.32507,CRAWL,1951,C   ,5,2,0,L
SINGLE FAMILY,0.46,GENERAL SERVICES DISTRICT,30000,236500,3758,CRAWL,1987,C   ,5,3,1,L
SINGLE FAMILY,0.3,URBAN SERVICES DISTRICT,40000,157700,2092,CRAWL,1956,C   ,5,2,0,L
SINGLE FAMILY,0.3,GENERAL SERVICES DISTRICT,40500,156700,2493,CRAWL,1970,C   ,5,3,0,L
SINGLE FAMILY,0.76,URBAN SERVICES DISTRICT,55000,300400,2370,FULL BSMT,1968,B   ,4,2,0,L
SINGLE FAMILY,0.31,URBAN SERVICES DISTRICT,37000,242500,2376,CRAWL,1930,C   ,4,2,0,L
SINGLE FAMILY,0.2,URBAN SERVICES DISTRICT,125000,201000,2213.60004,PT BSMT,1920,C   ,4,3,0,L
SINGLE FAMILY,0.23,URBAN SERVICES DISTRICT,30000,196300,1848,PT BSMT,1933,C   ,4,2,1,L
SINGLE FAMILY,0.96,URBAN SERVICES DISTRICT,38500,207200,2350,SLAB,1963,C   ,4,2,1,L
SINGLE FAMILY,1.02,URBAN SERVICES DISTRICT,190000,413200,3625.75,CRAWL,1954,B   ,4,2,0,L
SINGLE FAMILY,0.51,URBAN SERVICES DISTRICT,47000,270500,2756,SLAB,1962,C   ,4,2,0,L
SINGLE FAMILY,0.92,URBAN SERVICES DISTRICT,170000,285100,3341,CRAWL,1963,B   ,4,3,0,L
VACANT RES LAND,0.99,URBAN SERVICES DISTRICT,190000,886200,5370.25,CRAWL,2014,X   ,4,4,1,L
VACANT RES LAND,1.08,CITY OF OAK HILL,378900,999300,5769,CRAWL,2014,X   ,4,4,1,L
SINGLE FAMILY,1.03,CITY OF OAK HILL,200000,73000,2382,SLAB,1960,C   ,4,2,0,L
SINGLE FAMILY,1.72,CITY OF OAK HILL,200000,268600,2648,FULL BSMT,1977,B   ,4,3,0,L
SINGLE FAMILY,0.71,URBAN SERVICES DISTRICT,40500,215100,2283,CRAWL,1951,C   ,4,2,0,L
DUPLEX,0.95,URBAN SERVICES DISTRICT,135000,186100,3165,PT BSMT,1958,C   ,4,5,0,L
SINGLE FAMILY,0.99,URBAN SERVICES DISTRICT,77000,195700,3071.09998,FULL BSMT,1967,C   ,4,3,0,L
SINGLE FAMILY,0.57,URBAN SERVICES DISTRICT,32000,225200,3126.00002,FULL BSMT,1961,C   ,4,3,0,L
SINGLE FAMILY,0.6,URBAN SERVICES DISTRICT,60000,217300,2690.8,FULL BSMT,1967,B   ,4,2,0,L
SINGLE FAMILY,1.33,URBAN SERVICES DISTRICT,121800,168000,2604,PT BSMT,1961,C   ,4,2,0,L
SINGLE FAMILY,0.27,URBAN SERVICES DISTRICT,165000,96700,992,FULL BSMT,1950,C   ,4,2,0,L
SINGLE FAMILY,0.39,URBAN SERVICES DISTRICT,70000,260500,3413.00995,PT BSMT,1965,C   ,4,3,0,L
SINGLE FAMILY,0.39,URBAN SERVICES DISTRICT,70000,168100,2305.5,FULL BSMT,1965,C   ,4,1,1,L
DUPLEX,0.26,URBAN SERVICES DISTRICT,290000,89000,1800,CRAWL,1966,C   ,4,2,0,L
SINGLE FAMILY,0.41,GENERAL SERVICES DISTRICT,45000,160000,2407,SLAB,1969,C   ,4,2,2,L
SINGLE FAMILY,0.22,URBAN SERVICES DISTRICT,28000,221700,2300,CRAWL,1948,C   ,4,2,1,L
SINGLE FAMILY,0.57,URBAN SERVICES DISTRICT,36000,244100,3193.00006,FULL BSMT,1945,C   ,4,3,0,L
SINGLE FAMILY,0.22,URBAN SERVICES DISTRICT,150000,494900,3456,CRAWL,2014,B   ,4,3,1,L
DUPLEX,0.27,URBAN SERVICES DISTRICT,140000,382300,2825,PT BSMT,1920,C   ,4,4,,L
QUADPLEX,0.19,URBAN SERVICES DISTRICT,40000,146900,2500,CRAWL,1964,C   ,8,4,0,M
VACANT RES LAND,0.51,URBAN SERVICES DISTRICT,315000,928000,5238.25,FULL BSMT,2013,X   ,6,4,3,M
SINGLE FAMILY,0.95,URBAN SERVICES DISTRICT,190000,941200,5055,CRAWL,1952,X   ,6,4,1,M
TRIPLEX,0.17,URBAN SERVICES DISTRICT,13000,50500,2268,CRAWL,1959,D   ,6,3,0,M
TRIPLEX,0.17,URBAN SERVICES DISTRICT,13000,95000,2096,CRAWL,1960,C   ,6,3,0,M
TRIPLEX,0.2,URBAN SERVICES DISTRICT,12000,112500,2088,CRAWL,1972,D   ,6,3,0,M
DUPLEX,0.56,URBAN SERVICES DISTRICT,21500,118300,3484,FULL BSMT,1971,C   ,6,4,0,M
DUPLEX,0.18,URBAN SERVICES DISTRICT,21500,107300,3074,FULL BSMT,1971,C   ,6,4,0,M
SINGLE FAMILY,0.9,URBAN SERVICES DISTRICT,150000,221200,3386,CRAWL,1970,B   ,5,3,0,M
DUPLEX,1.12,CITY OF OAK HILL,200000,217800,5840.17993,FULL BSMT,1956,B   ,5,3,0,M
SINGLE FAMILY,0.95,URBAN SERVICES DISTRICT,34000,199200,4110,CRAWL,2000,C   ,5,4,1,M
SINGLE FAMILY,2.08,GENERAL SERVICES DISTRICT,108000,213400,4077,CRAWL,1974,B   ,5,4,0,M
DUPLEX,0.27,URBAN SERVICES DISTRICT,180000,153600,2327,PT BSMT,1930,B   ,5,2,0,M
SINGLE FAMILY,0.17,URBAN SERVICES DISTRICT,150000,298200,3457.60001,CRAWL,1948,C   ,5,4,1,M
SINGLE FAMILY,1.12,URBAN SERVICES DISTRICT,170000,277200,3119,CRAWL,1963,B   ,5,3,1,M
DUPLEX,0.28,URBAN SERVICES DISTRICT,160000,126300,2880.98993,FULL BSMT,1955,C   ,5,2,0,M
SINGLE FAMILY,0.46,CITY OF OAK HILL,203500,676900,4431,CRAWL,2016,A   ,5,5,1,M
SINGLE FAMILY,0.34,URBAN SERVICES DISTRICT,35500,285300,2890.14001,FULL BSMT,1966,C   ,5,2,1,M
SINGLE FAMILY,0.98,URBAN SERVICES DISTRICT,190000,764400,4343,CRAWL,2017,X   ,5,4,1,M
SINGLE FAMILY,0.92,URBAN SERVICES DISTRICT,135000,899700,5558,CRAWL,2017,A   ,5,4,1,M
SINGLE FAMILY,0.41,URBAN SERVICES DISTRICT,35000,190600,3219,PT BSMT,1955,C   ,5,2,0,M
SINGLE FAMILY,0.41,URBAN SERVICES DISTRICT,32000,202400,2200,SLAB,1963,B   ,5,3,0,M
SINGLE FAMILY,0.85,URBAN SERVICES DISTRICT,35500,207200,2100,FULL BSMT,1956,C   ,5,2,0,M
DUPLEX,0.27,URBAN SERVICES DISTRICT,180000,239600,3121.66998,FULL BSMT,1930,C   ,5,4,0,M
SINGLE FAMILY,0.34,GENERAL SERVICES DISTRICT,45000,149900,2591.19995,FULL BSMT,1968,C   ,5,2,0,M
SINGLE FAMILY,0.34,URBAN SERVICES DISTRICT,36500,168100,2400,FULL BSMT,1953,C   ,5,2,0,M
SINGLE FAMILY,0.97,URBAN SERVICES DISTRICT,150000,176200,2583,PT BSMT,1966,B   ,5,3,0,M
SINGLE FAMILY,0.68,URBAN SERVICES DISTRICT,46000,279700,2430,FULL BSMT,1958,C   ,4,3,0,M
SINGLE FAMILY,0.3,URBAN SERVICES DISTRICT,175000,170600,1960,PT BSMT,1938,C   ,4,3,0,M
SINGLE FAMILY,1.1,URBAN SERVICES DISTRICT,68200,286900,2936,FULL BSMT,1978,B   ,4,2,0,M
SINGLE FAMILY,0.18,URBAN SERVICES DISTRICT,214500,122600,1577,PT BSMT,1940,C   ,4,2,0,M
SINGLE FAMILY,0.96,URBAN SERVICES DISTRICT,150000,187300,3148,SLAB,1962,B   ,4,2,0,M
SINGLE FAMILY,0.62,CITY OF OAK HILL,203500,868000,5866,CRAWL,2016,A   ,4,5,0,M
SINGLE FAMILY,0.36,URBAN SERVICES DISTRICT,65000,260500,1676,CRAWL,1964,B   ,4,2,0,M
SINGLE FAMILY,0.91,URBAN SERVICES DISTRICT,170000,164500,2389,PT BSMT,1962,B   ,4,2,0,M
SINGLE FAMILY,0.17,URBAN SERVICES DISTRICT,144000,219000,2111.60004,FULL BSMT,1938,C   ,4,1,1,M
SINGLE FAMILY,0.28,URBAN SERVICES DISTRICT,35000,232100,2503,FULL BSMT,1928,C   ,4,3,0,M
SINGLE FAMILY,0.62,URBAN SERVICES DISTRICT,46000,198600,2024,CRAWL,1950,C   ,4,1,1,M
SINGLE FAMILY,0.45,URBAN SERVICES DISTRICT,60000,230000,2388,PT BSMT,1982,B   ,4,3,0,M
SINGLE FAMILY,0.35,URBAN SERVICES DISTRICT,60000,242400,2721,CRAWL,1984,B   ,4,3,0,M
SINGLE FAMILY,0.34,URBAN SERVICES DISTRICT,202500,83400,1480,CRAWL,1951,C   ,4,2,0,M
VACANT RES LAND,0.46,URBAN SERVICES DISTRICT,290000,617100,3508,CRAWL,2013,A   ,4,3,1,M
DUPLEX,0.27,URBAN SERVICES DISTRICT,175000,131600,2562.5,FULL BSMT,1949,C   ,4,3,0,M
SINGLE FAMILY,5.08,GENERAL SERVICES DISTRICT,100100,276000,3092,CRAWL,1986,B   ,4,3,0,M
SINGLE FAMILY,0.96,URBAN SERVICES DISTRICT,105000,243200,2503,CRAWL,1963,B   ,4,2,0,M
SINGLE FAMILY,0.52,URBAN SERVICES DISTRICT,32000,238300,2276,PT BSMT,1961,C   ,4,2,0,M
SINGLE FAMILY,0.2,URBAN SERVICES DISTRICT,60000,251900,2200,CRAWL,1934,B   ,4,2,1,M
SINGLE FAMILY,0.97,GENERAL SERVICES DISTRICT,90000,241600,4340,FULL BSMT,1974,B   ,4,3,0,M
SINGLE FAMILY,4.54,URBAN SERVICES DISTRICT,212600,504000,3825,CRAWL,2017,A   ,8,4,1,N
SINGLE FAMILY,0.15,URBAN SERVICES DISTRICT,125000,251000,3500,CRAWL,1900,B   ,7,3,0,N
TRIPLEX,0.71,URBAN SERVICES DISTRICT,64800,219600,3599.52991,FULL BSMT,1941,B   ,6,3,0,N
VACANT RES LAND,1.08,GENERAL SERVICES DISTRICT,300000,1249900,10788.58008,PT BSMT,2015,A   ,6,6,0,N
TRIPLEX,0.19,URBAN SERVICES DISTRICT,20000,95300,2080,CRAWL,1963,C   ,6,3,0,N
